array_size,n_runs,method,mean_us,median_us,min_us,max_us,p1_us,p99_us,setup_us
256,10000,FPGA (DMA),25.163079301432845,24.850000045262277,24.10999991298013,71.83999991866585,24.430000166830723,30.89999995609105,142.05999991645513
1024,10000,FPGA (DMA),33.15639770005418,32.969999892884516,32.22999998797604,470.5310000190366,32.53999989283329,35.450600039439465,147.51999992768106
4096,10000,FPGA (DMA),47.808957800702956,47.68000007970841,43.79999995762773,99.87000021283166,47.15000000032887,50.29049999166092,154.91999988626048
16384,10000,FPGA (DMA),113.5570833010661,113.4100000399485,109.23000013463025,146.68999983769027,112.40000003454043,116.42000004030706,156.3999999234511
256,10000,CPU NumPy,13.965160899670082,13.91999990119075,13.399999943430885,39.62999994655547,13.620000117953168,14.530000044032931,0
256,10000,CPU Python loop,130.76808319972315,129.43549995725334,125.52999987747171,545.6000001231587,126.30098990939587,151.54999982996742,0
1024,10000,CPU NumPy,18.026204699094706,17.809999917517416,17.20000000204891,135.18999980988156,17.399999933331856,19.580800069434208,0
1024,10000,CPU Python loop,494.2796979993091,493.0899999635585,482.01000004155503,931.7210001427156,487.71000001579523,517.951599904336,0
4096,10000,CPU NumPy,24.786806199995226,24.70050003466895,23.499999997511622,122.52000010448683,24.049999865383143,25.850000156424358,0
4096,10000,CPU Python loop,1923.2659161001493,1922.7220000175294,1897.2909999774856,2216.2220000154775,1912.411999910546,1944.322600097621,0
16384,10000,CPU NumPy,49.662809500205185,49.14999999527936,46.83999986809795,108.46999998648243,47.51000005626338,57.38999993809557,0
16384,10000,CPU Python loop,8693.233023298968,8687.243000053968,8503.017999828444,12554.811999962112,8556.493800188036,8884.850389970325,0
